,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,"Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4",Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Unlabeled 1125,Unlabeled 1125,Unlabeled 1125,Unlabeled 1126,Unlabeled 1126,Unlabeled 1126,Unlabeled 1127,Unlabeled 1127,Unlabeled 1127
,ID,"68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","DF6B0","DF6B0","DF6B0","DF290","DF290","DF290","DF190","DF190","DF190","DF2C0","DF2C0","DF2C0","DF730","DF730","DF730","DF760","DF760","DF760","DF790","DF790","DF790"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,0.133333,0.132617,-0.037058,0.135659,0.981140,-0.160935,0.470871,0.450478,0.000071,-0.134824,0.451531,0.435468,0.977830,-0.147097,0.501302,0.486872,0.979222,-0.165930,0.438586,0.401806,0.981909,-0.195880,0.492155,0.477540,0.978765,-0.134876,0.451480,0.435518,-0.147136,0.501334,0.486809,-0.165906,0.438654,0.401807,-0.195814,0.492108,0.477553,-0.075047,0.412704,0.627914,0.024704,0.002471,-0.187407,-0.131652,0.409762,0.423680
17,0.141667,0.132623,-0.037058,0.135637,0.981142,-0.160941,0.470857,0.450487,0.000071,-0.134831,0.451516,0.435476,0.977528,-0.147101,0.501287,0.486881,0.979050,-0.165937,0.438574,0.401814,0.982131,-0.195885,0.492143,0.477549,0.978971,-0.134884,0.451464,0.435527,-0.147142,0.501319,0.486815,-0.165911,0.438640,0.401812,-0.195817,0.492097,0.477565,-0.075047,0.412704,0.627912,0.024697,0.002474,-0.187409,,,
18,0.150000,0.132602,-0.037061,0.135608,0.981149,-0.160939,0.470850,0.450485,0.000070,-0.134830,0.451506,0.435475,0.977553,-0.147097,0.501280,0.486878,0.979123,-0.165937,0.438564,0.401813,0.982201,-0.195882,0.492139,0.477546,0.978883,-0.134881,0.451454,0.435527,-0.147138,0.501313,0.486813,-0.165913,0.438631,0.401811,-0.195814,0.492091,0.477562,-0.075044,0.412703,0.627911,0.023827,0.002258,-0.186713,,,
19,0.158333,0.132616,-0.037058,0.135642,0.981143,-0.160927,0.470859,0.450478,0.000072,-0.134817,0.451517,0.435468,0.977553,-0.147088,0.501289,0.486872,0.979123,-0.165923,0.438574,0.401806,0.982201,-0.195872,0.492144,0.477540,0.978883,-0.134868,0.451464,0.435517,-0.147132,0.501323,0.486810,-0.165899,0.438642,0.401807,-0.195800,0.492097,0.477554,-0.075042,0.412701,0.627911,0.024451,0.002524,-0.187133,,,
20,0.166667,0.132617,-0.037041,0.135639,0.981144,-0.160921,0.470873,0.450480,0.000071,-0.134811,0.451531,0.435469,0.977864,-0.147080,0.501304,0.486874,0.979072,-0.165918,0.438588,0.401808,0.981938,-0.195864,0.492159,0.477543,0.978276,-0.134862,0.451477,0.435518,-0.147122,0.501337,0.486811,-0.165894,0.438657,0.401809,-0.195795,0.492111,0.477557,-0.075041,0.412700,0.627911,0.024452,0.002522,-0.187129,-0.131594,0.409729,0.423717
21,0.175000,0.132605,-0.037061,0.135634,0.981145,-0.160926,0.470871,0.450490,0.000070,-0.134816,0.451529,0.435480,0.977357,-0.147086,0.501303,0.486884,0.978675,-0.165922,0.438586,0.401818,0.982156,-0.195870,0.492158,0.477551,0.978515,-0.134868,0.451476,0.435532,-0.147130,0.501336,0.486818,-0.165896,0.438653,0.401815,-0.195800,0.492112,0.477569,-0.075043,0.412703,0.627911,0.024702,0.002473,-0.187411,,,
22,0.183333,0.132605,-0.037046,0.135639,0.981145,-0.160931,0.470860,0.450491,0.000070,-0.134821,0.451518,0.435481,0.977584,-0.147090,0.501291,0.486884,0.978772,-0.165928,0.438574,0.401820,0.982073,-0.195875,0.492146,0.477553,0.978627,-0.134872,0.451464,0.435531,-0.147134,0.501324,0.486819,-0.165903,0.438641,0.401817,-0.195805,0.492100,0.477570,-0.074983,0.412597,0.627972,0.023828,0.002256,-0.186712,,,
23,0.191667,0.132630,-0.037042,0.135637,0.981142,-0.160931,0.470854,0.450488,0.000071,-0.134821,0.451513,0.435477,0.977584,-0.147090,0.501284,0.486882,0.978772,-0.165929,0.438571,0.401815,0.982073,-0.195874,0.492139,0.477552,0.978627,-0.134874,0.451463,0.435528,-0.147133,0.501316,0.486818,-0.165904,0.438636,0.401813,-0.195804,0.492093,0.477567,-0.075047,0.412702,0.627915,0.024453,0.002525,-0.187131,,,
24,0.200000,0.132626,-0.037059,0.135651,0.981140,-0.160928,0.470862,0.450483,0.000070,-0.134817,0.451521,0.435472,0.977754,-0.147089,0.501292,0.486877,0.979204,-0.165924,0.438578,0.401810,0.982525,-0.195873,0.492146,0.477545,0.978581,-0.134869,0.451471,0.435522,-0.147132,0.501325,0.486816,-0.165899,0.438643,0.401807,-0.195802,0.492100,0.477560,-0.075042,0.412700,0.627907,0.024450,0.002521,-0.187130,-0.131597,0.409730,0.423716
25,0.208333,0.132608,-0.037083,0.135628,0.981145,-0.160931,0.470871,0.450479,0.000069,-0.134820,0.451529,0.435470,0.978347,-0.147092,0.501302,0.486873,0.979494,-0.165925,0.438586,0.401806,0.982450,-0.195876,0.492158,0.477539,0.978855,-0.134868,0.451476,0.435519,-0.147134,0.501335,0.486811,-0.165904,0.438653,0.401806,-0.195807,0.492111,0.477552,-0.075042,0.412700,0.627908,,,,,,
